#SOD  LONEST    LATEST         ALTEST       CLKEST     GGTO   SOL NSVVIS NSV HPE     VPE      EPE     NPE     UPE    HDOP    VDOP    PDOP   
00000    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00010    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00020    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00030 -135.26199   43.73011    1347816.953     0.789    -5.569   1  13  13   0.134   0.099   0.129  -0.039  -0.099   0.961   1.378   1.680 
00040 -134.89386   43.28733    1347679.858     0.691    -5.405   1  13  13   0.197   0.073   0.124  -0.153  -0.073   0.956   1.380   1.679 
00050 -134.53163   42.84307    1347542.406     0.676    -5.436   1  13  13   0.200   0.136   0.075  -0.186  -0.136   0.952   1.383   1.678 
00060 -134.17515   42.39737    1347404.869     0.671    -5.352   1  13  13   0.270   0.062   0.037  -0.267  -0.062   0.947   1.384   1.677 
00070 -133.82427   41.95027    1347267.053     0.636    -5.426   1  13  13   0.273   0.096   0.043  -0.269  -0.096   0.943   1.387   1.677 
00080 -133.47883   41.50181    1347129.152     0.636    -5.399   1  13  13   0.283   0.094   0.041  -0.281  -0.094   0.939   1.388   1.676 
00090 -133.13869   41.05203    1346991.101     0.556    -5.415   1  13  13   0.289   0.170   0.035  -0.287  -0.170   0.934   1.391   1.676 
00100 -132.80373   40.60096    1346853.029     0.475    -5.399   1  13  13   0.312   0.245   0.015  -0.311  -0.245   0.931   1.393   1.676 
00110 -132.47379   40.14864    1346715.028     0.434    -5.340   1  13  13   0.342   0.276   0.002  -0.342  -0.276   0.927   1.395   1.675 
00120 -132.14874   39.69511    1346577.093     0.382    -5.316   1  13  13   0.348   0.317   0.008  -0.348  -0.317   0.923   1.396   1.674 
00130 -131.82846   39.24040    1346439.303     0.346    -5.335   1  13  13   0.341   0.339   0.008  -0.341  -0.339   0.921   1.399   1.675 
00140 -131.51282   38.78454    1346301.730     0.352    -5.293   1  13  13   0.395   0.320   0.013  -0.394  -0.320   0.918   1.401   1.675 
00150 -131.20171   38.32757    1346164.402     0.418    -5.358   1  13  13   0.365   0.282   0.021  -0.364  -0.282   0.914   1.403   1.674 
00160 -130.89499   37.86951    1346027.324     0.445    -5.373   1  13  13   0.381   0.269   0.019  -0.381  -0.269   0.912   1.404   1.674 
00170 -130.59255   37.41039    1345890.633     0.529    -5.441   1  13  13   0.402   0.192   0.025  -0.401  -0.192   0.910   1.406   1.675 
00180 -130.29429   36.95025    1345754.232     0.535    -5.431   1  14  13   0.403   0.200   0.027  -0.402  -0.200   0.908   1.407   1.674 
00190 -130.00009   36.48911    1345618.229     0.519    -5.374   1  15  13   0.405   0.232   0.038  -0.404  -0.232   0.906   1.410   1.676 
00200 -129.70985   36.02699    1345482.725     0.546    -5.478   1  15  13   0.409   0.237   0.048  -0.406  -0.237   0.904   1.411   1.675 
00210 -129.42345   35.56393    1345348.028     0.751    -5.050   1  15  14   0.104   0.044   0.071  -0.076   0.044   0.774   1.386   1.588 
00220 -129.14081   35.09995    1345213.478     0.629    -4.937   1  15  15   0.122   0.097   0.076  -0.095  -0.097   0.720   1.377   1.553 
00230 -128.86181   34.63508    1345079.719     0.663    -4.988   1  15  15   0.106   0.066   0.071  -0.079  -0.066   0.716   1.379   1.554 
00240 -128.58637   34.16933    1344946.537     0.626    -4.991   1  15  15   0.133   0.124   0.083  -0.104  -0.124   0.712   1.382   1.555 
00250 -128.31440   33.70273    1344814.183     0.672    -5.129   1  15  15   0.146   0.070   0.087  -0.118  -0.070   0.709   1.382   1.553 
00260 -128.04579   33.23531    1344682.561     0.699    -5.197   1  15  15   0.148   0.046   0.076  -0.127  -0.046   0.706   1.384   1.553 
00270 -127.78046   32.76709    1344551.713     0.674    -5.130   1  15  15   0.174   0.057   0.091  -0.148  -0.057   0.703   1.385   1.554 
00280 -127.51833   32.29808    1344421.807     0.742    -5.220   1  15  15   0.166   0.014   0.085  -0.142   0.014   0.700   1.386   1.553 
00290 -127.25930   31.82832    1344292.752     0.746    -5.195   1  15  15   0.189   0.031   0.093  -0.165   0.031   0.698   1.388   1.554 
00300 -127.00330   31.35781    1344164.629     0.769    -5.318   1  15  15   0.176   0.028   0.077  -0.159   0.028   0.697   1.388   1.553 
00310 -126.75025   30.88658    1344037.604     0.855    -5.410   1  15  15   0.183   0.125   0.046  -0.177   0.125   0.694   1.390   1.553 
