C1:CONST C2:PRN    C3:x_f1    C4:y_f1    C5:z_f1     C6:xL2     C7:yL2     C8:zL2
       G       01    394.000      0.000   1421.470    394.000      0.000   1421.470
       G       02      1.300     -1.100    681.860      1.300     -1.100    681.860
       G       03    394.000      0.000   1482.260    394.000      0.000   1482.260
       G       04    -59.940     17.480   1179.800    -59.260     15.600    687.830
       G       05     -3.300     -0.300    742.630     -3.300     -0.300    742.630
       G       06    394.000      0.000   1411.460    394.000      0.000   1411.460
       G       07     -0.400      5.000    757.000     -0.400      5.000    757.000
       G       08    394.000      0.000   1427.680    394.000      0.000   1427.680
       G       09    394.000      0.000   1460.090    394.000      0.000   1460.090
       G       10    394.000      0.000   1429.490    394.000      0.000   1429.490
       G       11    -65.940     20.440   1185.750    -64.320     20.340    681.610
       G       12     10.200     -5.600    710.740     10.200     -5.600    710.740
       G       13     -2.400     -1.600   1287.120     -2.400     -1.600   1287.120
       G       14    -63.550     23.190   1187.670    -61.890     25.830    701.340
       G       15      4.500      1.900    575.590      4.500      1.900    575.590
       G       16     12.600     -6.900   1389.150     12.600     -6.900   1389.150
       G       17      3.000      1.000    711.510      3.000      1.000    711.510
       G       18    -64.420     19.480   1188.420    -64.790     22.060    702.290
       G       19      8.600     -0.600    718.610      8.600     -0.600    718.610
       G       20      1.000     -3.200   1262.440      1.000     -3.200   1262.440
       G       21     -3.400      2.900   1290.310     -3.400      2.900   1290.310
       G       22      1.400      4.700    936.220      1.400      4.700    936.220
       G       23    -66.510     19.090   1183.820    -64.880     17.120    707.300
       G       24    394.000      0.000   1351.800    394.000      0.000   1351.800
       G       25    394.000      0.000   1454.150    394.000      0.000   1454.150
       G       26    394.000      0.000   1433.580    394.000      0.000   1433.580
       G       27    394.000      0.000   1436.320    394.000      0.000   1436.320
       G       28    -65.940     20.440   1185.750    -64.320     20.340    681.610
       G       29     10.900     -4.500    722.820     10.900     -4.500    722.820
       G       30    394.000      0.000   1462.160    394.000      0.000   1462.160
       G       31     -0.800      5.800    837.040     -0.800      5.800    837.040
       G       32    394.000      0.000   1471.740    394.000      0.000   1471.740
       E       01    121.330     -8.010    879.870    122.140     -9.380    792.040
       E       02    121.300     -9.140    881.830    122.690     -9.250    772.880
       E       03    115.980     -9.200    892.840    116.870    -10.160    766.520
       E       04    122.400     -9.660    890.530    123.130     -9.590    759.880
       E       05    121.390     -9.390    912.860    122.390     -9.230    761.730
       E       07    119.150     -9.790    848.550    120.620     -9.180    766.650
       E       08    121.910    -10.280    879.430    121.880     -9.830    761.930
       E       09    120.830     -9.280    868.480    120.840     -8.520    752.680
       E       10    122.640     -9.050    876.460    124.060     -8.740    739.080
       E       11   -169.370     29.630    967.500   -169.800     25.850    947.580
       E       12   -171.570     29.910    859.100   -169.510     27.830    795.930
       E       13    121.720     -9.810    899.010    123.160     -7.690    732.170
       E       14    171.040    -12.960    877.720    172.490    -12.410    765.110
       E       15    120.800    -10.430    877.120    120.900    -10.060    756.560
       E       18    176.510    -13.280    897.770    177.380    -12.780    766.570
       E       19   -172.210     29.880    961.790   -171.010     27.940    947.810
       E       20   -171.480     28.170    947.220   -169.760     26.690    962.300
       E       21    126.800    -10.570    935.580    127.060    -10.960    758.580
       E       22    118.520     -8.040    853.460    122.340     -9.500    809.660
       E       24    117.430     -9.210    878.860    119.330     -9.530    784.510
       E       25    119.730     -9.750    886.910    120.850    -10.350    756.730
       E       26    118.760     -8.600    900.490    119.700     -8.460    756.680
       E       27    120.650    -11.090    898.710    121.920    -11.030    791.420
       E       30    119.590     -8.230    853.140    119.580     -8.880    767.210
       E       31    122.430    -10.760    893.520    121.050    -10.280    770.790
       E       33    122.950     -9.670    887.230    122.650     -8.350    764.320
       E       34    122.250    -10.880    885.300    124.040    -10.910    762.230
       E       36    121.750    -11.230    872.380    122.510     -9.760    754.760
